id_snippet,modello,layer_locus,cos_sim_stesso_layer,cos_sim_penultimo_layer
382,meta-llama/Llama-3.1-8B-Instruct,15,,-0.189697265625
383,meta-llama/Llama-3.1-8B-Instruct,15,,-0.198974609375
384,meta-llama/Llama-3.1-8B-Instruct,15,,-0.210693359375
385,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2235107421875
386,meta-llama/Llama-3.1-8B-Instruct,15,,-0.189208984375
387,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1634521484375
388,meta-llama/Llama-3.1-8B-Instruct,15,,-0.20068359375
389,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1939697265625
390,meta-llama/Llama-3.1-8B-Instruct,15,,-0.185546875
392,meta-llama/Llama-3.1-8B-Instruct,15,,-0.181884765625
393,meta-llama/Llama-3.1-8B-Instruct,15,,-0.197998046875
394,meta-llama/Llama-3.1-8B-Instruct,15,,-0.218994140625
395,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1676025390625
396,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1800537109375
397,meta-llama/Llama-3.1-8B-Instruct,15,,-0.193115234375
398,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2083740234375
400,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2174072265625
402,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2117919921875
403,meta-llama/Llama-3.1-8B-Instruct,15,,-0.206298828125
404,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2109375
405,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1885986328125
406,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1920166015625
407,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1866455078125
408,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1964111328125
